"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /reservations/vacancy",165647,1700,4800,7000,7700,8800,9600,9900,10000,151000
"Total",165647,1700,4800,7000,7700,8800,9600,9900,10000,151000
