"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/reservations/vacancy",165647,0,1700,3691,1,150698,100,613.02
"None","Total",165647,0,1700,3691,1,150698,100,613.02
